Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,Fuel,Transmission,Drive type,Power,Engine capacity,CO2 emissions,Emission class,Mileage,First registration,Battery type,AC charging time,Battery capacity,Previous owners,Warranty until,Price
Fiat,500X,Blue,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,111,1332.0,140,Euro 6d,14117,2022,No battery type class,0.0,0.0,2,3.0,28899.0
Ford,Focus,Black,Other interior color,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Manual,4x2,88,1498.0,98,No emission class,85400,2020,No battery type class,0.0,0.0,Unknown,5.0,18799.0
Volkswagen,T-Roc,White,Grey interior,Cloth interior,Cabriolet,4/5 doors,4,Petrol,Automatic,4x2,110,1498.0,130,Euro 6d,5000,2023,No battery type class,0.0,0.0,1,3.0,42649.0
Audi,S5,Grey,Black interior,Alcantara interior,Coupe,4/5 doors,5,Diesel,Automatic,4x4,255,2967.0,161,Euro 6d-TEMP,43800,2020,No battery type class,0.0,0.0,2,4.0,56049.0
BMW,118,White,Black interior,Full leather interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,103,1499.0,111,Euro 6,18104,2019,No battery type class,0.0,0.0,1,6.0,29649.0
MINI,Cooper S Cabrio,White,Other interior color,Full leather interior,Cabriolet,2/3 doors,4,Petrol,Automatic,4x2,141,1998.0,121,Euro 6d-TEMP,22193,2020,No battery type class,0.0,0.0,1,4.0,33149.0
Skoda,Enyaq,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Electric,Automatic,4x2,150,1373.0,0,No emission class,15000,2022,Lithium-ion (Li-ion),3.3333333333333335,82.0,Unknown,3.0,51849.0
Mercedes-Benz,Sprinter,White,Black interior,Cloth interior,Cargo VAN,4/5 doors,6,Diesel,Manual,4x2,105,2143.0,213,Euro 6,79300,2018,No battery type class,0.0,0.0,Unknown,4.0,44299.0
Fiat,Panda,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,51,999.0,89,Euro 6d,1,2023,No battery type class,0.0,0.0,Unknown,3.0,16249.0
Seat,Leon,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,Diesel,Manual,4x2,85,1598.0,108,Euro 6,166400,2017,No battery type class,0.0,0.0,2,4.0,10899.0
Skoda,Kodiaq,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,110,1968.0,133,Euro 6d,6812,2023,No battery type class,0.0,0.0,Unknown,3.0,51549.0
Mercedes-Benz,A 200,Red,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,110,1950.0,132,Euro 6d,38907,2021,No battery type class,0.0,0.0,Unknown,4.0,36299.0
Opel,Astra,Black,Other interior color,Part leather interior,Sedans / saloons,4/5 doors,5,Petrol,Manual,4x2,81,1199.0,102,Euro 6d,20000,2022,No battery type class,0.0,0.0,1,3.0,21499.0
Ford,Ranger,Grey,Black interior,Part leather interior,Pick-up,4/5 doors,5,Diesel,Automatic,4x4,156,1996.0,179,Euro 6d,1,2023,No battery type class,0.0,0.0,Unknown,5.0,46849.0
Volkswagen,Golf,Grey,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,Petrol,Manual,4x2,110,1498.0,122,Euro 6,66692,2019,No battery type class,0.0,0.0,2,3.0,21299.0
Hyundai,Tucson,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,110,1598.0,139,Euro 6d,25,2023,No battery type class,0.0,0.0,Unknown,5.0,32049.0
Volvo,S60,Grey,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,Hybrid,Automatic,4x4,288,1969.0,46,Euro 6d,48030,2022,Lithium-ion (Li-ion),3.0,12.0,1,3.0,45549.0
Opel,Corsa,Red,Other interior color,Alcantara interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,74,1199.0,99,Euro 6d,12,2023,No battery type class,0.0,0.0,1,3.0,28349.0
Nissan,Micra,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,68,999.0,121,Euro 6,28870,2021,No battery type class,0.0,0.0,Unknown,4.0,13749.0
Renault,Koleos,White,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,140,1997.0,150,Euro 6d-TEMP,63911,2019,No battery type class,0.0,0.014084507042253521,1,3.0,29949.0
Mercedes-Benz,Vito,Grey,Black interior,Other interior material,Cargo VAN,4/5 doors,4,Diesel,Automatic,4x2,140,2143.0,158,Euro 6,112258,2019,No battery type class,0.0,0.014084507042253521,1,4.0,38299.0
Volkswagen,T-Cross,Black,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,81,999.0,110,Euro 6d,20082,2023,No battery type class,0.0,0.0,1,3.0,23399.0
Volkswagen,Passat,Grey,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,176,1968.0,157,Euro 6d-TEMP,56264,2019,No battery type class,0.0,0.0,1,3.0,35099.0
Mercedes-Benz,C 180,Silver,Grey interior,Cloth interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x2,115,1796.0,194,Euro 5,114000,2010,No battery type class,0.0,0.0,Unknown,4.0,12399.0
Kia,cee'd / Ceed,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,Diesel,Manual,4x2,100,1598.0,102,Euro 6,100284,2020,No battery type class,0.0,0.0,Unknown,4.0,17849.0
Volkswagen,Golf Plus,Silver,Black interior,Cloth interior,MPV,4/5 doors,5,Petrol,Automatic,4x2,77,1197.0,139,Euro 5,53000,2011,No battery type class,0.0,0.0,1,3.0,11399.0
Opel,Corsa,Blue,Other interior color,Cloth interior,Hatchback,4/5 doors,5,Electric,Automatic,4x2,100,1009.0,0,No emission class,100,2023,Lithium-ion (Li-ion),1.0526315789473684,50.0,1,3.0,27399.0
Citroen,C3 Aircross,Grey,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Manual,4x2,73,1560.0,101,Euro 6,58200,2017,No battery type class,0.0,0.0,Unknown,4.0,13849.0
Mercedes-Benz,E 400,Silver,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,245,3498.0,173,Euro 6,48900,2018,No battery type class,0.0,0.0,1,4.0,40549.0
Land Rover,Range Rover Velar,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,221,2993.0,167,Euro 6d,12500,2018,No battery type class,0.0,0.0,1,5.0,54899.0
Volkswagen,Golf,Silver,Grey interior,Cloth interior,Station Wagon,4/5 doors,5,Petrol,Manual,4x2,85,999.0,112,Euro 6d,100000,2018,No battery type class,0.0,0.0,Unknown,3.0,13899.0
Fiat,500,Green,Black interior,Cloth interior,Hatchback,2/3 doors,4,Electric,Automatic,4x2,70,1013.0,0,No emission class,1,2023,Lithium-ion (Li-ion),3.0,24.0,Unknown,3.0,20999.0
Mercedes-Benz,C 220,Blue,Black interior,Other interior material,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,125,2143.0,114,Euro 6,57750,2016,No battery type class,0.0,0.0,2,4.0,22049.0
Fiat,500,Black,Other interior color,Other interior material,Hatchback,2/3 doors,4,Electric,Automatic,4x2,87,1013.0,0,No emission class,10,2023,Lithium-ion (Li-ion),4.0,42.0,Unknown,3.0,30149.0
Opel,Insignia,Red,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,169,1998.0,163,Euro 6,9000,2021,No battery type class,0.0,0.0,1,4.0,41899.0
Mercedes-Benz,CLA 220 Shooting Brake,Silver,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,130,2143.0,105,Euro 6,51618,2018,No battery type class,0.0,0.0,2,4.0,29849.0
Fiat,500X,Green,Black interior,Other interior material,SUV / offroad,4/5 doors,5,Diesel,Manual,4x2,95,1598.0,115,Euro 6,41700,2021,No battery type class,0.0,0.0,Unknown,3.0,19549.0
Hyundai,Tucson,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,132,1598.0,129,Euro 6d,15,2023,No battery type class,0.0,0.0,Unknown,5.0,39449.0
Mazda,6,Blue,Other interior color,Full leather interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x2,143,2488.0,156,Euro 6d,49990,2022,No battery type class,0.0,0.0,1,3.0,29949.0
Volkswagen,Golf,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5,Diesel,Manual,4x2,85,1968.0,99,Euro 6,94000,2021,No battery type class,0.0,0.0,Unknown,3.0,21399.0
Opel,Corsa,Red,Black interior,Cloth interior,Hatchback,4/5 doors,5,Electric,Automatic,4x2,100,1009.0,0,Euro 6,6682,2022,Lithium-ion (Li-ion),1.0526315789473684,50.0,Unknown,3.0,33799.0
Mercedes-Benz,E 400,Grey,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,245,3498.0,173,Euro 6,105000,2017,No battery type class,0.0,0.0,2,4.0,30449.0
BMW,118,White,Grey interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,100,1499.0,129,Euro 6d,17600,2022,No battery type class,0.0,0.0,1,4.0,24999.0
Peugeot,308,White,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,96,1499.0,0,Euro 6d,35000,2022,No battery type class,0.0,0.0,Unknown,3.0,33049.0
Volvo,V60,Grey,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,110,1969.0,123,Euro 6d,36000,2019,No battery type class,0.0,0.0,Unknown,3.0,27399.0
Fiat,500,Red,Other interior color,Other interior material,Hatchback,2/3 doors,4,Petrol,Manual,4x2,51,999.0,88,Euro 6,18708,2022,No battery type class,0.0,0.0,1,2.0,16399.0
Mazda,CX-5,Blue,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,121,1998.0,146,Euro 6d,0,2023,No battery type class,0.0,0.0,Unknown,3.0,34299.0
Volkswagen,Golf,Silver,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,85,1968.0,106,Euro 6d-TEMP,0,2023,No battery type class,0.0,0.0,Unknown,3.0,42499.0
Volkswagen,T-Roc,Black,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,140,1984.0,145,Euro 6d,9843,2022,No battery type class,0.0,0.014084507042253521,1,3.0,34999.0
MINI,Cooper S,Grey,Grey interior,Cloth interior,Hatchback,2/3 doors,4,Petrol,Automatic,4x2,131,1998.0,121,Euro 6d-TEMP,16000,2021,No battery type class,0.0,0.0,Unknown,4.0,28799.0
Mercedes-Benz,A 45 AMG,Black,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,280,1991.0,171,Euro 6,56453,2017,No battery type class,0.0,0.0,Unknown,4.0,40649.0
Volkswagen,Passat,Blue,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,140,1968.0,137,Euro 6,91000,2019,No battery type class,0.0,0.014084507042253521,Unknown,3.0,26049.0
BMW,120,Black,Grey interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,135,1998.0,0,Euro 6d-TEMP,29276,2019,No battery type class,0.0,0.0,1,4.0,27149.0
BMW,X6,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,230,2993.0,228,Euro 6,103499,2018,No battery type class,0.0,0.0,Unknown,4.0,47899.0
Audi,A4,Blue,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,170,2967.0,139,Euro 6d-TEMP,93243,2019,No battery type class,0.0,0.0,1,4.0,28799.0
BMW,X1,Black,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,103,1499.0,0,No emission class,38990,2019,No battery type class,0.0,0.0,Unknown,4.0,22449.0
Skoda,Superb,Blue,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Hybrid,Automatic,4x2,160,1395.0,119,Euro 6,14900,2022,Lithium-ion (Li-ion),4.0,13.0,1,3.0,38249.0
Opel,Corsa,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,66,1398.0,118,Euro 6,49099,2017,No battery type class,0.0,0.0,2,3.0,13299.0
BMW,X6,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,230,2993.0,187,Euro 6d-TEMP,84500,2019,No battery type class,0.0,0.0,Unknown,4.0,49899.0
Ford,Puma,Grey,Grey interior,Other interior material,SUV / offroad,4/5 doors,2,Petrol,Manual,4x2,92,1000.0,106,Euro 6,24316,2020,No battery type class,0.0,0.0,1,5.0,21649.0
Volkswagen,T-Roc,Grey,Grey interior,Other interior material,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,1498.0,127,Euro 6,75331,2020,No battery type class,0.0,0.0,Unknown,3.0,24599.0
